What is your lunar module's name? 
"'Snoopy', Houston. You're GO for powered descent."

     Time     |   Altitude   |   Velocity   |     Fuel     |   Throttle   
        327 s |   35991.95 m |  -102.47 m/s |      0.00 kg | 0
        328 s |   35887.85 m |  -104.10 m/s |      0.00 kg | 0
        329 s |   35782.12 m |  -105.73 m/s |      0.00 kg | 0
        330 s |   35674.77 m |  -107.36 m/s |      0.00 kg | 0
        331 s |   35565.78 m |  -108.99 m/s |      0.00 kg | 0
        332 s |   35455.16 m |  -110.62 m/s |      0.00 kg | 0
        333 s |   35342.92 m |  -112.25 m/s |      0.00 kg | 0
        334 s |   35229.04 m |  -113.88 m/s |      0.00 kg | 0
        335 s |   35113.53 m |  -115.51 m/s |      0.00 kg | 0
        336 s |   34996.40 m |  -117.14 m/s |      0.00 kg | 0
        337 s |   34877.63 m |  -118.77 m/s |      0.00 kg | 0
        338 s |   34757.23 m |  -120.40 m/s |      0.00 kg | 0
        339 s |   34635.21 m |  -122.03 m/s |      0.00 kg | 0
        340 s |   34511.55 m |  -123.66 m/s |      0.00 kg | 0
        341 s |   34386.26 m |  -125.29 m/s |      0.00 kg | 0
        342 s |   34259.35 m |  -126.92 m/s |      0.00 kg | 0
        343 s |   34130.80 m |  -128.55 m/s |      0.00 kg | 0
        344 s |   34000.62 m |  -130.18 m/s |      0.00 kg | 0
        345 s |   33868.82 m |  -131.81 m/s |      0.00 kg | 0
        346 s |   33735.38 m |  -133.44 m/s |      0.00 kg | 0
        347 s |   33600.32 m |  -135.07 m/s |      0.00 kg | 0
        348 s |   33463.62 m |  -136.70 m/s |      0.00 kg | 0
        349 s |   33325.29 m |  -138.33 m/s |      0.00 kg | 0
        350 s |   33185.34 m |  -139.96 m/s |      0.00 kg | 0
        351 s |   33043.75 m |  -141.59 m/s |      0.00 kg | 0
        352 s |   32900.53 m |  -143.22 m/s |      0.00 kg | 0
        353 s |   32755.69 m |  -144.85 m/s |      0.00 kg | 0
        354 s |   32609.21 m |  -146.48 m/s |      0.00 kg | 0
